k1_cm^-1,E11_cm3_s^-2
2.440000000000000213e+01,1.498216040215937829e-02
2.460000000000000142e+01,1.418366839516323544e-02
2.480000000000000071e+01,1.349837497180291640e-02
2.500000000000000000e+01,1.284990175473578987e-02
2.520000000000000284e+01,1.220451191905259566e-02
2.540000000000000213e+01,1.158289359052797063e-02
2.560000000000000142e+01,1.108539150267410893e-02
2.580000000000000071e+01,1.047227703072063816e-02
2.600000000000000000e+01,1.001846663118972219e-02
2.620000000000000284e+01,9.464416789306359656e-03
2.640000000000000213e+01,8.967920470366418442e-03
2.660000000000000142e+01,8.681067726493515296e-03
2.680000000000000071e+01,8.179891277796872209e-03
2.700000000000000000e+01,7.757653656556837314e-03
2.720000000000000284e+01,7.441483632928009087e-03
2.740000000000000213e+01,7.057440265039851071e-03
2.760000000000000142e+01,6.735876136084521272e-03
2.780000000000000071e+01,6.405203039928863105e-03
2.800000000000000000e+01,6.121287601064261293e-03
2.820000000000000284e+01,5.840203949845849084e-03
2.840000000000000213e+01,5.555183463192003845e-03
2.860000000000000142e+01,5.278324337227914033e-03
2.880000000000000071e+01,5.057847047149027601e-03
2.900000000000000000e+01,4.755365106949216089e-03
2.920000000000000284e+01,4.584454829557181588e-03
2.940000000000000213e+01,4.349563277530695340e-03
2.960000000000000142e+01,4.108879033350467530e-03
2.980000000000000071e+01,3.916556674499773599e-03
3.000000000000000000e+01,3.730766047347130934e-03
3.020000000000000284e+01,3.564847997627850883e-03
3.040000000000000213e+01,3.406224238242099456e-03
3.060000000000000142e+01,3.236144956983061198e-03
3.080000000000000071e+01,3.085052592652963183e-03
3.100000000000000000e+01,2.935389738470488806e-03
3.120000000000000284e+01,2.799693205694642108e-03
3.140000000000000213e+01,2.666311710888628547e-03
3.160000000000000142e+01,2.543876904576090718e-03
3.180000000000000071e+01,2.422688798185392445e-03
3.200000000000000000e+01,2.307045971559251642e-03
3.220000000000000284e+01,2.199597617344761433e-03
3.239999999999999858e+01,2.090044671319046029e-03
