k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,1.882863333141399664e+02
2.000000000000000111e-01,2.154238175928257704e+02
4.000000000000000222e-01,1.201619257383478612e+02
6.000000000000000888e-01,7.714502839897795639e+01
8.000000000000000444e-01,5.694888834320452276e+01
1.000000000000000000e+00,4.072851193864332231e+01
1.200000000000000178e+00,3.333571189096646492e+01
1.400000000000000133e+00,2.616585392407218436e+01
1.600000000000000089e+00,2.052257486316421264e+01
1.800000000000000044e+00,1.739191804026004817e+01
2.000000000000000000e+00,1.437708403582246497e+01
2.200000000000000178e+00,1.186933807835950461e+01
2.400000000000000355e+00,9.944355047975561135e+00
2.600000000000000089e+00,8.499546229236196737e+00
2.800000000000000266e+00,7.362750200452903293e+00
3.000000000000000000e+00,6.015910711284933932e+00
3.200000000000000178e+00,5.262256700575644430e+00
3.400000000000000355e+00,4.463857267685416907e+00
3.600000000000000089e+00,3.876251093897541633e+00
3.800000000000000266e+00,3.419843927373992010e+00
4.000000000000000000e+00,2.979391809227572185e+00
4.200000000000000178e+00,2.583724422723379988e+00
4.400000000000000355e+00,2.250607206038415242e+00
4.600000000000000533e+00,1.962600845326168297e+00
4.800000000000000711e+00,1.725851492892148897e+00
5.000000000000000000e+00,1.521772975707903930e+00
5.200000000000000178e+00,1.329590967047861616e+00
5.400000000000000355e+00,1.173202451388684286e+00
5.600000000000000533e+00,1.042858282876494291e+00
5.800000000000000711e+00,9.204640379141090234e-01
6.000000000000000000e+00,8.142565124313546621e-01
6.200000000000000178e+00,7.225378488600703308e-01
6.400000000000000355e+00,6.461664895224558114e-01
6.600000000000000533e+00,5.745302750519993840e-01
6.800000000000000711e+00,5.154720641792255309e-01
7.000000000000000000e+00,4.660098458542946687e-01
7.200000000000000178e+00,4.104436600683195047e-01
7.400000000000000355e+00,3.696577665832769255e-01
7.600000000000000533e+00,3.320219386552311636e-01
7.800000000000000711e+00,2.988374228182780201e-01
8.000000000000000000e+00,2.654419301650303153e-01
8.200000000000001066e+00,2.415626461133854874e-01
8.400000000000000355e+00,2.149835223904693338e-01
8.599999999999999645e+00,1.955416838360077847e-01
8.800000000000000711e+00,1.762540235851847992e-01
9.000000000000000000e+00,1.593120306462839086e-01
9.200000000000001066e+00,1.433277357975419053e-01
9.400000000000000355e+00,1.283541766843659393e-01
9.600000000000001421e+00,1.193155948681219325e-01
9.800000000000000711e+00,1.070940725477130123e-01
1.000000000000000000e+01,9.746608139239439084e-02
1.020000000000000107e+01,8.887406264811249790e-02
1.040000000000000036e+01,8.142159069402375715e-02
1.060000000000000142e+01,7.318753496260042846e-02
1.080000000000000071e+01,6.643627349288037942e-02
1.100000000000000000e+01,6.210174409800457707e-02
1.120000000000000107e+01,5.554936186860427033e-02
1.140000000000000036e+01,5.085484150340064541e-02
1.160000000000000142e+01,4.706622315306018683e-02
1.180000000000000071e+01,4.234862800919062670e-02
1.200000000000000000e+01,3.851336011787558078e-02
1.220000000000000107e+01,3.609466469240195374e-02
1.240000000000000036e+01,3.231160642567799945e-02
1.260000000000000142e+01,2.976710373140554339e-02
1.280000000000000071e+01,2.745415262905468237e-02
1.300000000000000000e+01,2.506706906382724989e-02
1.320000000000000107e+01,2.319204530120581864e-02
1.340000000000000036e+01,2.151000951069380676e-02
1.360000000000000142e+01,1.957458660015320984e-02
1.380000000000000071e+01,1.809949928251839910e-02
1.400000000000000000e+01,1.643954805625768081e-02
1.420000000000000107e+01,1.519942352507747119e-02
1.440000000000000036e+01,1.379912714281988223e-02
1.460000000000000142e+01,1.290626869495320461e-02
1.480000000000000071e+01,1.184924477398605069e-02
1.500000000000000000e+01,1.110028162723517182e-02
1.520000000000000107e+01,1.013608742578523542e-02
1.540000000000000036e+01,9.211278941530596370e-03
1.560000000000000142e+01,8.584889106800004666e-03
1.580000000000000071e+01,8.018202903507402890e-03
1.600000000000000000e+01,7.334518911263590568e-03
1.619999999999999929e+01,6.784411842486326102e-03
1.640000000000000213e+01,6.305768338411931948e-03
1.660000000000000142e+01,5.823265690274768112e-03
1.680000000000000071e+01,5.341455574188512870e-03
1.700000000000000000e+01,5.011279918265888235e-03
1.719999999999999929e+01,4.618107004482853960e-03
1.740000000000000213e+01,4.299811346399099246e-03
1.760000000000000142e+01,3.954016098634612064e-03
1.780000000000000071e+01,3.676557306307895283e-03
1.800000000000000000e+01,3.435614247262831766e-03
1.819999999999999929e+01,3.184852251661178177e-03
1.840000000000000213e+01,2.932747598786640368e-03
1.860000000000000142e+01,2.752624862289906101e-03
1.880000000000000071e+01,2.553435531458810720e-03
1.900000000000000000e+01,2.393837342005865256e-03
1.920000000000000284e+01,2.202504879355686451e-03
1.940000000000000213e+01,2.057278478442590292e-03
1.960000000000000142e+01,1.941357349704449968e-03
1.980000000000000071e+01,1.783672344696700688e-03
2.000000000000000000e+01,1.689668618349079478e-03
2.020000000000000284e+01,1.558710293262650102e-03
2.040000000000000213e+01,1.477319433624069102e-03
2.060000000000000142e+01,1.397580168688848309e-03
2.080000000000000071e+01,1.299693418605016955e-03
2.100000000000000000e+01,1.225710074369302247e-03
2.120000000000000284e+01,1.167857830887240747e-03
2.140000000000000213e+01,1.098293947395051050e-03
2.160000000000000142e+01,1.034579372587399182e-03
2.180000000000000071e+01,9.729212056065524722e-04
2.200000000000000000e+01,9.292789105737550310e-04
2.220000000000000284e+01,8.833339052917005794e-04
2.240000000000000213e+01,8.313059279335147057e-04
2.260000000000000142e+01,8.048971450576012949e-04
2.280000000000000071e+01,7.744157085256736560e-04
2.300000000000000000e+01,7.456663751906485952e-04
2.320000000000000284e+01,7.242506623029377122e-04
2.340000000000000213e+01,7.023990860378725000e-04
2.360000000000000142e+01,6.813354330606000023e-04
2.380000000000000071e+01,6.708214995514871380e-04
2.400000000000000000e+01,6.619697222253845227e-04
2.420000000000000284e+01,6.588303220912050586e-04
2.440000000000000213e+01,6.566129442971901323e-04
2.460000000000000142e+01,6.659318661666115569e-04
2.480000000000000071e+01,6.752659533112482810e-04
2.500000000000000000e+01,6.885190497829196069e-04
2.520000000000000284e+01,7.034033706039839306e-04
2.540000000000000213e+01,7.261380106560834163e-04
2.560000000000000142e+01,0.000000000000000000e+00
