k1_cm^-1,E11_cm3_s^-2
1.100000000000000000e+01,6.151701208939341914e-01
1.120000000000000107e+01,5.830184015632525751e-01
1.140000000000000036e+01,5.364792293444110571e-01
1.160000000000000142e+01,5.076582876998683158e-01
1.180000000000000071e+01,4.773720388323071662e-01
1.200000000000000000e+01,4.375456356646015843e-01
1.220000000000000107e+01,4.164339839218703654e-01
1.240000000000000036e+01,3.902358884858598276e-01
1.260000000000000142e+01,3.709068557385476472e-01
1.280000000000000071e+01,3.468635362045918713e-01
1.300000000000000000e+01,3.222081112852762663e-01
1.320000000000000107e+01,3.031342348279725818e-01
1.340000000000000036e+01,2.795509519801803178e-01
1.360000000000000142e+01,2.648764594403189010e-01
1.380000000000000071e+01,2.512220248367170727e-01
1.400000000000000000e+01,2.375081466981091016e-01
1.420000000000000107e+01,2.206370076519983958e-01
1.440000000000000036e+01,2.080295030208513807e-01
1.460000000000000142e+01,1.985154832531347280e-01
1.480000000000000071e+01,1.835138748444392065e-01
1.500000000000000000e+01,1.736193373964270981e-01
1.520000000000000107e+01,1.646601394569730814e-01
1.540000000000000036e+01,1.542428848493815896e-01
1.560000000000000142e+01,1.455478566500426896e-01
1.580000000000000071e+01,1.369269430554906075e-01
1.600000000000000000e+01,1.304444272802045834e-01
1.619999999999999929e+01,1.226866017342543858e-01
1.640000000000000213e+01,1.157024160325525602e-01
1.660000000000000142e+01,1.088084167307918765e-01
1.680000000000000071e+01,1.032113585024197755e-01
1.700000000000000000e+01,9.625901460219274397e-02
1.719999999999999929e+01,9.172528007088734392e-02
1.740000000000000213e+01,8.688468212584249395e-02
1.760000000000000142e+01,8.242027371042463801e-02
1.780000000000000071e+01,7.655965765239740317e-02
1.800000000000000000e+01,7.324468619140131476e-02
1.819999999999999929e+01,6.897723163882592268e-02
1.840000000000000213e+01,6.522014909572054764e-02
1.860000000000000142e+01,6.143605240465671580e-02
1.880000000000000071e+01,5.820547753743975788e-02
1.900000000000000000e+01,5.488119902689462398e-02
1.920000000000000284e+01,5.209098089317858865e-02
1.940000000000000213e+01,4.935374238407345959e-02
1.960000000000000142e+01,4.635087087938564304e-02
1.980000000000000071e+01,4.379148433719671357e-02
2.000000000000000000e+01,4.161391997369056489e-02
2.020000000000000284e+01,3.939921630621673332e-02
2.040000000000000213e+01,3.767666917370398466e-02
2.060000000000000142e+01,3.538362948275169950e-02
2.080000000000000071e+01,3.372673301224430459e-02
2.100000000000000000e+01,3.172026182052208043e-02
2.120000000000000284e+01,3.018425980841080158e-02
2.140000000000000213e+01,2.868652961319224232e-02
2.160000000000000142e+01,2.715375380155024901e-02
2.180000000000000071e+01,2.570453915656903052e-02
2.200000000000000000e+01,2.423395013748730342e-02
2.220000000000000284e+01,2.316666797637430969e-02
2.240000000000000213e+01,2.179668040944504614e-02
2.260000000000000142e+01,2.071827380831947618e-02
2.280000000000000071e+01,1.947938803212371367e-02
2.300000000000000000e+01,1.855804890544956662e-02
2.320000000000000284e+01,1.753543269448410227e-02
2.340000000000000213e+01,1.672053191954912810e-02
