k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,4.474659180811490804e-29,1.000000000000000000e+00
2.000000000000000111e-01,1.847417010161562132e+02,1.800000000000000000e+01
4.000000000000000222e-01,1.709780755088892477e+02,6.200000000000000000e+01
6.000000000000000888e-01,9.506899355127828244e+01,9.800000000000000000e+01
8.000000000000000444e-01,1.042418505711646475e+02,2.100000000000000000e+02
1.000000000000000000e+00,8.805424293098994326e+01,3.500000000000000000e+02
1.200000000000000178e+00,6.355613571776467552e+01,4.500000000000000000e+02
1.400000000000000133e+00,5.914092708365474493e+01,6.020000000000000000e+02
1.600000000000000089e+00,4.922789508362808419e+01,7.620000000000000000e+02
1.800000000000000044e+00,5.195674076104980088e+01,1.142000000000000000e+03
2.000000000000000000e+00,3.975960554352585774e+01,1.250000000000000000e+03
2.200000000000000178e+00,3.623361408830295005e+01,1.458000000000000000e+03
2.400000000000000355e+00,3.383490931163934334e+01,1.814000000000000000e+03
2.600000000000000089e+00,3.261396390972100789e+01,2.178000000000000000e+03
2.800000000000000266e+00,2.965415787206254805e+01,2.498000000000000000e+03
3.000000000000000000e+00,2.459304606275015459e+01,2.622000000000000000e+03
3.200000000000000178e+00,2.485546328458800858e+01,3.338000000000000000e+03
3.400000000000000355e+00,2.357481352775405270e+01,3.722000000000000000e+03
3.600000000000000089e+00,2.112338194879101394e+01,4.170000000000000000e+03
3.800000000000000266e+00,1.842222932136619207e+01,4.358000000000000000e+03
4.000000000000000000e+00,1.722698112829771588e+01,5.034000000000000000e+03
4.200000000000000178e+00,1.564838699354721285e+01,5.714000000000000000e+03
4.400000000000000355e+00,1.441314990872494839e+01,5.982000000000000000e+03
4.600000000000000533e+00,1.322068062764241603e+01,6.602000000000000000e+03
4.800000000000000711e+00,1.182832753961641004e+01,7.130000000000000000e+03
5.000000000000000000e+00,1.122032766090301692e+01,8.034000000000000000e+03
5.200000000000000178e+00,1.036952599036800393e+01,8.606000000000000000e+03
5.400000000000000355e+00,9.445379082394614656e+00,9.066000000000000000e+03
5.600000000000000533e+00,8.667587845515694056e+00,9.962000000000000000e+03
5.800000000000000711e+00,7.816007524998520140e+00,1.055000000000000000e+04
6.000000000000000000e+00,7.138318825943874124e+00,1.122600000000000000e+04
6.200000000000000178e+00,6.658548228460419161e+00,1.214600000000000000e+04
6.400000000000000355e+00,6.011077053523814051e+00,1.260600000000000000e+04
