station_tU0_over_M,time_s,tstep,cfl,kinetic_energy_cm2_s^-2,dissipation_cm2_s^-3,isotropic_u_rms_cm_s,kolmogorov_length_cm,taylor_microscale_cm,reynolds_lambda,kmax_eta,relative_spectral_divergence,parseval_relative_error
42.0,0.0,0,0.43124394538673855,789.7262720297886,4348.34473222861,22.945243109481154,0.029594268153858315,0.5209172114476402,79.99752951253733,1.1364198971081592,4.3529285793618496e-17,5.75829077735571e-16
,0.0001,1,0.43102263266275753,789.2929413517086,4318.433892376176,22.938947103877116,0.029645380404240067,0.5225746871532768,80.23004835014981,1.1383826075228185,6.082598314112552e-17,2.8807260717908077e-16
,0.0002,2,0.43069788641602774,788.8625537879454,4289.4759515073665,22.932692148807206,0.029695287689116983,0.524192677011997,80.4565109865273,1.1402990472620922,7.419494334261953e-17,1.4411488690357619e-16
,0.00030000000000000003,3,0.43007089377459173,788.4350159373789,4261.433450761542,22.92647691989008,0.029744020296440292,0.5257720487166953,80.67705219702867,1.1421703793833071,8.5532435652666e-17,2.883860696786851e-16
,0.0004,4,0.4300529177613854,788.0102380532041,4234.270744194598,22.92030014424192,0.02979160769833003,0.5273136525497202,80.89180400477694,1.143997735615873,9.56973626564139e-17,5.770830490856651e-16
,0.0005,5,0.43042328329004415,787.588133866971,4207.953893403692,22.914160598008255,0.02983807857505888,0.5288183216113432,81.10089571878561,1.145782217282261,1.0490216614029202e-16,2.886961670268601e-16
,0.0006000000000000001,6,0.4307990449533547,787.1686204228049,4182.450569009543,22.90805710403809,0.029883460838730787,0.5302868720711537,81.30445397550055,1.1475248962072622,1.13425870896838e-16,4.3327503703292583e-16
,0.0007000000000000001,7,0.43086603324238915,786.7516179211732,4157.729958504145,22.90198852969138,0.029927781656610336,0.5317201034390978,81.50260278325396,1.1492268156138368,1.214256508779645e-16,1.4450156203302096e-16
,0.0008000000000000001,8,0.4305936540485628,786.3370495715516,4133.762680011552,22.89595378477096,0.029971067474062696,0.5331187988530659,81.69546356915387,1.1508889910040074,1.2888061781941431e-16,2.891554907238826e-16
,0.0009000000000000002,9,0.43012387215725933,785.9248414534468,4110.520701546294,22.88995181957135,0.030013344037066455,0.5344837253801064,81.88315522796294,1.1525124110233518,1.36005426975307e-16,4.3396072394671876e-16
,0.0010000000000000002,10,0.42927376893761776,785.5149223852304,4087.977265388229,22.88398162303682,0.030054636414262974,0.5358156343284397,82.06579417253273,1.1540980383076982,1.4298861407416403e-16,4.3418718530414643e-16
,0.0010160000000000145,11,0.06865494279299728,785.4495431227274,4084.433411966346,22.883029273863304,0.03006115351089349,0.5360257254087053,82.09455520598846,1.15434829481831,1.490954500168587e-16,0.0
42.2,0.0010160000000000145,11,0.4290933924558504,785.4495431227274,4084.433411966346,22.883029273863304,0.03006115351089349,0.5360257254087053,82.09455520598846,1.15434829481831,1.490954500168587e-16,0.0
