k1_cm^-1,E11_cm3_s^-2
2.480000000000000071e+01,1.014884525632211987e-02
2.500000000000000000e+01,9.587819091696255652e-03
2.520000000000000284e+01,9.167843522149237215e-03
2.540000000000000213e+01,8.591847268985385727e-03
2.560000000000000142e+01,8.239274346754673142e-03
2.580000000000000071e+01,7.761498228660503214e-03
2.600000000000000000e+01,7.405302239914701712e-03
2.620000000000000284e+01,6.955779923770714912e-03
2.640000000000000213e+01,6.577116584222809058e-03
2.660000000000000142e+01,6.269760323425571137e-03
2.680000000000000071e+01,5.930619648833032262e-03
2.700000000000000000e+01,5.666624826692779650e-03
2.720000000000000284e+01,5.352471641829077004e-03
2.740000000000000213e+01,5.050449836539910517e-03
2.760000000000000142e+01,4.840194315268877764e-03
2.780000000000000071e+01,4.578289746843001648e-03
2.800000000000000000e+01,4.342617181448204557e-03
2.820000000000000284e+01,4.111509272385637653e-03
2.840000000000000213e+01,3.912132378102881058e-03
2.860000000000000142e+01,3.703452064164685590e-03
2.880000000000000071e+01,3.545353000924657272e-03
2.900000000000000000e+01,3.323297502761848442e-03
2.920000000000000284e+01,3.178188415384646578e-03
2.940000000000000213e+01,3.019278719256811034e-03
2.960000000000000142e+01,2.836398783842397197e-03
2.980000000000000071e+01,2.696009771115601573e-03
3.000000000000000000e+01,2.576174075408024528e-03
3.020000000000000284e+01,2.436111026411467984e-03
3.040000000000000213e+01,2.313591617159369875e-03
3.060000000000000142e+01,2.189996027153038108e-03
3.080000000000000071e+01,2.089385905653179214e-03
3.100000000000000000e+01,1.972570985346927194e-03
3.120000000000000284e+01,1.878839157973204166e-03
3.140000000000000213e+01,1.780916791733484338e-03
3.160000000000000142e+01,1.696379903234325687e-03
3.180000000000000071e+01,1.605283163891967372e-03
3.200000000000000000e+01,1.534872219749635865e-03
3.220000000000000284e+01,1.445163372192203883e-03
3.239999999999999858e+01,1.375862284365910208e-03
3.260000000000000142e+01,1.312942070967914807e-03
3.280000000000000426e+01,1.239223964008140692e-03
3.300000000000000000e+01,1.178567415349476540e-03
3.320000000000000284e+01,1.122603715304346149e-03
3.339999999999999858e+01,1.063943538623067508e-03
3.360000000000000142e+01,1.014492936108062895e-03
3.380000000000000426e+01,9.605196260365765929e-04
3.400000000000000000e+01,9.108478137360349371e-04
3.420000000000000284e+01,8.707374200844398985e-04
3.439999999999999858e+01,8.264652642875325826e-04
3.460000000000000142e+01,7.849795326896384868e-04
3.480000000000000426e+01,7.436303746224883111e-04
3.500000000000000000e+01,7.078428732049505973e-04
3.520000000000000284e+01,6.769944620619918483e-04
3.539999999999999858e+01,6.395642616651789087e-04
3.560000000000000142e+01,6.090672654271055619e-04
3.580000000000000426e+01,5.784944146252692663e-04
3.600000000000000000e+01,5.535791983313608899e-04
3.620000000000000284e+01,5.244629585299639052e-04
3.639999999999999858e+01,5.010743323167951829e-04
3.660000000000000142e+01,4.742165812906740303e-04
3.680000000000000426e+01,4.541354758177469533e-04
3.700000000000000000e+01,4.326961146197591513e-04
3.720000000000000284e+01,4.098865686598831106e-04
3.739999999999999858e+01,3.917936049247634734e-04
3.760000000000000142e+01,3.706197085574289133e-04
3.780000000000000426e+01,3.561689905545918785e-04
3.800000000000000000e+01,3.388143331197409919e-04
3.820000000000000284e+01,3.214842859839034156e-04
3.840000000000000568e+01,0.000000000000000000e+00
