k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,3.176834886529252344e+02
2.000000000000000111e-01,5.287297726254325880e+02
4.000000000000000222e-01,3.189346708836678204e+02
6.000000000000000888e-01,1.966314715448508821e+02
8.000000000000000444e-01,1.340634415265524524e+02
1.000000000000000000e+00,9.657587691173354472e+01
1.200000000000000178e+00,7.017827490953227709e+01
1.400000000000000133e+00,6.164085336502891010e+01
1.600000000000000089e+00,4.484452291869646245e+01
1.800000000000000044e+00,3.908062087911038418e+01
2.000000000000000000e+00,3.316205540035214483e+01
2.200000000000000178e+00,2.709763903720080691e+01
2.400000000000000355e+00,2.408581027946206987e+01
2.600000000000000089e+00,2.040788506609038322e+01
2.800000000000000266e+00,1.806030363562718222e+01
3.000000000000000000e+00,1.539029681260896254e+01
3.200000000000000178e+00,1.353276096620429669e+01
3.400000000000000355e+00,1.190115961309352066e+01
3.600000000000000089e+00,1.027379963138868391e+01
3.800000000000000266e+00,9.454305150919232403e+00
4.000000000000000000e+00,8.644256244462212635e+00
4.200000000000000178e+00,7.479841823936188128e+00
4.400000000000000355e+00,6.772825098208251404e+00
4.600000000000000533e+00,6.070318063860447921e+00
4.800000000000000711e+00,5.660960156432914836e+00
5.000000000000000000e+00,5.024076648696849112e+00
5.200000000000000178e+00,4.579358158792508959e+00
5.400000000000000355e+00,4.170177599816728531e+00
5.600000000000000533e+00,3.838242920819254778e+00
5.800000000000000711e+00,3.501257590549923471e+00
6.000000000000000000e+00,3.203606701200550688e+00
6.200000000000000178e+00,2.905724697844125348e+00
6.400000000000000355e+00,2.747804804853764438e+00
6.600000000000000533e+00,2.467207265654714821e+00
6.800000000000000711e+00,2.326460392395671928e+00
7.000000000000000000e+00,2.130971590666235649e+00
7.200000000000000178e+00,1.960844712105993537e+00
7.400000000000000355e+00,1.817883790086038953e+00
7.600000000000000533e+00,1.698374274668806194e+00
7.800000000000000711e+00,1.576460693051987549e+00
8.000000000000000000e+00,1.482039033417222429e+00
8.200000000000001066e+00,1.372642223411333351e+00
8.400000000000000355e+00,1.279242271086863392e+00
8.599999999999999645e+00,1.231259607983211657e+00
8.800000000000000711e+00,1.141257534182373856e+00
9.000000000000000000e+00,1.076374726052018671e+00
9.200000000000001066e+00,9.975869916987725183e-01
9.400000000000000355e+00,9.540738497772535132e-01
9.600000000000001421e+00,9.031574980399139640e-01
9.800000000000000711e+00,8.546653003529225412e-01
1.000000000000000000e+01,8.007405116057522143e-01
1.020000000000000107e+01,7.708176727238574832e-01
1.040000000000000036e+01,7.343153095505239314e-01
1.060000000000000142e+01,6.822156995661524670e-01
1.080000000000000071e+01,6.575678181314442705e-01
1.100000000000000000e+01,6.289233977998217595e-01
1.120000000000000107e+01,5.984400068402211392e-01
1.140000000000000036e+01,5.797631779038739941e-01
1.160000000000000142e+01,5.554044668046300703e-01
1.180000000000000071e+01,5.372590853302422476e-01
1.200000000000000000e+01,5.261051916653670668e-01
1.220000000000000107e+01,4.974472926570900344e-01
1.240000000000000036e+01,4.860487198463332437e-01
1.260000000000000142e+01,4.723153862310544571e-01
1.280000000000000071e+01,0.000000000000000000e+00
