station_tU0_over_M,time_s,tstep,cfl,kinetic_energy_cm2_s^-2,dissipation_cm2_s^-3,isotropic_u_rms_cm_s,kolmogorov_length_cm,taylor_microscale_cm,reynolds_lambda,kmax_eta,relative_spectral_divergence,parseval_relative_error
42.0,0.0,0,0.0693099879932417,753.0203063004936,2980.6264213641884,22.405658605219852,0.03252458094520654,0.614386929694553,92.13293093313827,0.4163146360986438,4.3952922018450734e-17,3.0194892958503865e-16
,0.0049999999999999975,100,0.0669935945205148,738.7599138148346,2769.1116555967064,22.192489928124104,0.03312863023375668,0.6313552915919419,93.77672486034427,0.42404646699208554,4.2938281936676397e-16,0.0
,0.009999999999999967,200,0.06688098857669886,725.0248589157897,2742.768787861176,21.98522017046588,0.03320789114572851,0.6284550885597143,92.4741335893678,0.4250610066653249,5.915133711803907e-16,1.5680405481768528e-16
,0.014999999999999937,300,0.06590512498200635,711.2390846212852,2774.6629275780024,21.775201256188733,0.03311204766312103,0.6188638132779113,90.19292497365421,0.4238342100879492,7.004040295160177e-16,1.5984334969745243e-16
,0.02000000000000006,400,0.06413170781083401,697.2813515374919,2805.955696980857,21.56047852804589,0.03301934044050333,0.6093348504017685,87.92849066697462,0.42264755763844264,7.847709164275085e-16,0.0
,0.025000000000000203,500,0.06255519402900066,683.2132730143228,2817.5278935980027,21.341872348575272,0.03298538370159213,0.6019167555752523,85.97736990285256,0.4222129113803793,8.5536444785374835e-16,0.0
,0.030000000000000346,600,0.05945802782071294,669.142678049918,2807.330474608694,21.120963962375043,0.033015297223150386,0.596767265350485,84.3594875557779,0.42259580445632494,9.163969553395236e-16,0.0
,0.03500000000000049,700,0.058176435947428516,655.1694820646052,2779.420724292022,20.89927402350945,0.033097868303725055,0.5934608602108805,83.01154306148507,0.4236527142876807,9.729575322689154e-16,1.735227919398199e-16
,0.04000000000000063,800,0.057683886544345184,641.3700940250287,2738.5003939658263,20.678009156670583,0.03322082355082546,0.5915484851986301,81.86801767337876,0.4252265414505659,1.0236968046250456e-15,0.0
50.0,0.04064,813,0.0577830982539692,639.6193591498122,2732.5214138797596,20.64976770086954,0.03323898112773511,0.5913865057161655,81.7338178724221,0.4254589584350094,1.0294982105356289e-15,0.0
