k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,0.000000000000000000e+00,1.000000000000000000e+00
2.000000000000000111e-01,2.006148223242537654e+02,1.800000000000000000e+01
4.000000000000000222e-01,4.432474388044207103e+02,6.200000000000000000e+01
6.000000000000000888e-01,3.025355438677704569e+02,9.800000000000000000e+01
8.000000000000000444e-01,3.182163555207438321e+02,2.100000000000000000e+02
1.000000000000000000e+00,3.062186628453475237e+02,3.500000000000000000e+02
1.200000000000000178e+00,2.134222735068387635e+02,4.500000000000000000e+02
1.400000000000000133e+00,1.687672541284757699e+02,6.020000000000000000e+02
1.600000000000000089e+00,1.414392620728452243e+02,7.620000000000000000e+02
1.800000000000000044e+00,1.474468628996565656e+02,1.142000000000000000e+03
2.000000000000000000e+00,1.179239230085110961e+02,1.250000000000000000e+03
2.200000000000000178e+00,9.851255545032915961e+01,1.458000000000000000e+03
2.400000000000000355e+00,9.304577527674628357e+01,1.814000000000000000e+03
2.600000000000000089e+00,8.666455562066562379e+01,2.178000000000000000e+03
2.800000000000000266e+00,7.878797647741376409e+01,2.498000000000000000e+03
3.000000000000000000e+00,6.633048740737319804e+01,2.622000000000000000e+03
3.200000000000000178e+00,6.685133343791822824e+01,3.338000000000000000e+03
3.400000000000000355e+00,6.051399779445007709e+01,3.722000000000000000e+03
3.600000000000000089e+00,5.636432035857063738e+01,4.170000000000000000e+03
3.800000000000000266e+00,4.942343489048082716e+01,4.358000000000000000e+03
4.000000000000000000e+00,4.631319723027331747e+01,5.034000000000000000e+03
4.200000000000000178e+00,4.547854468335827960e+01,5.714000000000000000e+03
4.400000000000000355e+00,3.903643219677918808e+01,5.982000000000000000e+03
4.600000000000000533e+00,3.746965572791360444e+01,6.602000000000000000e+03
4.800000000000000711e+00,3.539722124731596864e+01,7.130000000000000000e+03
5.000000000000000000e+00,3.382401994276600732e+01,8.034000000000000000e+03
5.200000000000000178e+00,3.184230977289442777e+01,8.606000000000000000e+03
5.400000000000000355e+00,2.902735954445876843e+01,9.066000000000000000e+03
5.600000000000000533e+00,2.803919247663961656e+01,9.962000000000000000e+03
5.800000000000000711e+00,2.604034109736901925e+01,1.055000000000000000e+04
6.000000000000000000e+00,2.420013007379854031e+01,1.122600000000000000e+04
