k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,3.176834885536070487e+02
2.000000000000000111e-01,5.287297725798765669e+02
4.000000000000000222e-01,3.189346707198301374e+02
6.000000000000000888e-01,1.966314713561568226e+02
8.000000000000000444e-01,1.340634412905533281e+02
1.000000000000000000e+00,9.657587678029744893e+01
1.200000000000000178e+00,7.017827478314760015e+01
1.400000000000000133e+00,6.164085328499916727e+01
1.600000000000000089e+00,4.484452281768874116e+01
1.800000000000000044e+00,3.908062072486930560e+01
2.000000000000000000e+00,3.316205526219224708e+01
2.200000000000000178e+00,2.709763892560559384e+01
2.400000000000000355e+00,2.408581020804784600e+01
2.600000000000000089e+00,2.040788493929251146e+01
2.800000000000000266e+00,1.806030350016445141e+01
3.000000000000000000e+00,1.539029669284251334e+01
3.200000000000000178e+00,1.353276088959726309e+01
3.400000000000000355e+00,1.190115951759112889e+01
3.600000000000000089e+00,1.027379959324574443e+01
3.800000000000000266e+00,9.454305103065502536e+00
4.000000000000000000e+00,8.644256196243004453e+00
4.200000000000000178e+00,7.479841771101050973e+00
4.400000000000000355e+00,6.772825024637791458e+00
4.600000000000000533e+00,6.070318052921020779e+00
4.800000000000000711e+00,5.660960085953755438e+00
5.000000000000000000e+00,5.024076594285721953e+00
5.200000000000000178e+00,4.579358148475352053e+00
5.400000000000000355e+00,4.170177523450600887e+00
5.600000000000000533e+00,3.838242872639099357e+00
5.800000000000000711e+00,3.501257574082383695e+00
6.000000000000000000e+00,3.203606664663712245e+00
6.200000000000000178e+00,2.905724650966967637e+00
6.400000000000000355e+00,2.747804779680391718e+00
6.600000000000000533e+00,2.467207232794335070e+00
6.800000000000000711e+00,2.326460357860925310e+00
7.000000000000000000e+00,2.130971540863352498e+00
7.200000000000000178e+00,1.960844663180900005e+00
7.400000000000000355e+00,1.817883776498607995e+00
7.600000000000000533e+00,1.698374254144795703e+00
7.800000000000000711e+00,1.576460653348660701e+00
8.000000000000000000e+00,1.482038986054933671e+00
8.200000000000001066e+00,1.372642187619560472e+00
8.400000000000000355e+00,1.279242241721629814e+00
8.599999999999999645e+00,1.231259589963981771e+00
8.800000000000000711e+00,1.141257509211079935e+00
9.000000000000000000e+00,1.076374686832537231e+00
9.200000000000001066e+00,9.975869551108984545e-01
9.400000000000000355e+00,9.540738222889211251e-01
9.600000000000001421e+00,9.031574642911740503e-01
9.800000000000000711e+00,8.546652783571954126e-01
1.000000000000000000e+01,8.007404859302347244e-01
1.020000000000000107e+01,7.708176463070071094e-01
1.040000000000000036e+01,7.343152920665881878e-01
1.060000000000000142e+01,6.822156799590622933e-01
1.080000000000000071e+01,6.575677966237725158e-01
1.100000000000000000e+01,6.289233864294109244e-01
1.120000000000000107e+01,5.984399832338427316e-01
1.140000000000000036e+01,5.797631576707046319e-01
1.160000000000000142e+01,5.554044503386224019e-01
1.180000000000000071e+01,5.372590829830179437e-01
1.200000000000000000e+01,5.261051709476729510e-01
1.220000000000000107e+01,4.974472816134121178e-01
1.240000000000000036e+01,4.860487180972948296e-01
1.260000000000000142e+01,4.723153844618370734e-01
1.280000000000000071e+01,0.000000000000000000e+00
