k1_cm^-1,E11_cm3_s^-2
1.900000000000000000e+01,2.373247785678671198e-03
1.920000000000000284e+01,2.205081504129581191e-03
1.940000000000000213e+01,2.034916793652304361e-03
1.960000000000000142e+01,1.904449457153461036e-03
1.980000000000000071e+01,1.769153230777823372e-03
2.000000000000000000e+01,1.647284662408032450e-03
2.020000000000000284e+01,1.515081904711338334e-03
2.040000000000000213e+01,1.419058569111908809e-03
2.060000000000000142e+01,1.321492675166940651e-03
2.080000000000000071e+01,1.240441776836153894e-03
2.100000000000000000e+01,1.144690411777916092e-03
2.120000000000000284e+01,1.074464331032055735e-03
2.140000000000000213e+01,1.000574451832845395e-03
2.160000000000000142e+01,9.225379387546412627e-04
2.180000000000000071e+01,8.705055953412746926e-04
2.200000000000000000e+01,8.068917029709280061e-04
2.220000000000000284e+01,7.497034816063562505e-04
2.240000000000000213e+01,6.954679360663619699e-04
2.260000000000000142e+01,6.522999769332605896e-04
2.280000000000000071e+01,6.137128894339233037e-04
2.300000000000000000e+01,5.702252976252465471e-04
2.320000000000000284e+01,5.331760226160375208e-04
2.340000000000000213e+01,4.953490903420954211e-04
2.360000000000000142e+01,4.638247240209041533e-04
2.380000000000000071e+01,4.319611484235163904e-04
2.400000000000000000e+01,4.001482569288213357e-04
2.420000000000000284e+01,3.749665511785099116e-04
2.440000000000000213e+01,3.491860979232622457e-04
2.460000000000000142e+01,3.271730374218525562e-04
2.480000000000000071e+01,3.060654606681623125e-04
2.500000000000000000e+01,2.885170054582061687e-04
2.520000000000000284e+01,2.682912911811019996e-04
2.540000000000000213e+01,2.512319449083519557e-04
2.560000000000000142e+01,2.367155304544109188e-04
2.580000000000000071e+01,2.194825080087376258e-04
2.600000000000000000e+01,2.060109353306524625e-04
2.620000000000000284e+01,1.928315199369902964e-04
2.640000000000000213e+01,1.805447992086964672e-04
2.660000000000000142e+01,1.691211223373202557e-04
2.680000000000000071e+01,1.579617555602649891e-04
2.700000000000000000e+01,1.484696906570663188e-04
2.720000000000000284e+01,1.389151188763584443e-04
2.740000000000000213e+01,1.300434053666764118e-04
2.760000000000000142e+01,1.218312517709008326e-04
2.780000000000000071e+01,1.143308515338664210e-04
2.800000000000000000e+01,1.073281586245817176e-04
2.820000000000000284e+01,9.995803771123821960e-05
2.840000000000000213e+01,9.439568602793075886e-05
2.860000000000000142e+01,8.852554659503018006e-05
2.880000000000000071e+01,8.303958098676954692e-05
2.900000000000000000e+01,7.742414779040978896e-05
2.920000000000000284e+01,7.320017174921226815e-05
2.940000000000000213e+01,6.793795611545664736e-05
2.960000000000000142e+01,6.448363077638415424e-05
2.980000000000000071e+01,6.049759826274864053e-05
3.000000000000000000e+01,5.661922201010337016e-05
3.020000000000000284e+01,5.330869357538985467e-05
3.040000000000000213e+01,4.981279176195462080e-05
3.060000000000000142e+01,4.704343395197877885e-05
3.080000000000000071e+01,4.421351777777809619e-05
