k1_cm^-1,E11_cm3_s^-2
0.000000000000000000e+00,8.040912496288686384e+01
2.000000000000000111e-01,1.197331896264370386e+02
4.000000000000000222e-01,5.203197540752787376e+01
6.000000000000000888e-01,3.419256950616728830e+01
8.000000000000000444e-01,2.402603422163016589e+01
1.000000000000000000e+00,1.693092399552574889e+01
1.200000000000000178e+00,1.335215630171228796e+01
1.400000000000000133e+00,9.959407134154179886e+00
1.600000000000000089e+00,7.729101581578574631e+00
1.800000000000000044e+00,6.206209580477843879e+00
2.000000000000000000e+00,5.245256186968478396e+00
2.200000000000000178e+00,4.056267668197424570e+00
2.400000000000000355e+00,3.301734465031394894e+00
2.600000000000000089e+00,2.705999794011824111e+00
2.800000000000000266e+00,2.308949539652374927e+00
3.000000000000000000e+00,1.925436680923963584e+00
3.200000000000000178e+00,1.609798157288165887e+00
3.400000000000000355e+00,1.311242334328349024e+00
3.600000000000000089e+00,1.093391255578519905e+00
3.800000000000000266e+00,9.249656271583089895e-01
4.000000000000000000e+00,7.524917473124395073e-01
4.200000000000000178e+00,6.692370525327880904e-01
4.400000000000000355e+00,5.620363157386500941e-01
4.600000000000000533e+00,4.758312229681765926e-01
4.800000000000000711e+00,4.105554580302177015e-01
5.000000000000000000e+00,3.427286407539453794e-01
5.200000000000000178e+00,2.989455329977921405e-01
5.400000000000000355e+00,2.503422855395847080e-01
5.600000000000000533e+00,2.193670845527096458e-01
5.800000000000000711e+00,1.902611288200518891e-01
6.000000000000000000e+00,1.653905522803531813e-01
6.200000000000000178e+00,1.448960134719471382e-01
6.400000000000000355e+00,1.230508244292369269e-01
6.600000000000000533e+00,1.071145733470548617e-01
6.800000000000000711e+00,9.369045851687216042e-02
7.000000000000000000e+00,8.189255293750898057e-02
7.200000000000000178e+00,7.132431939279344768e-02
7.400000000000000355e+00,6.213977296464875955e-02
7.600000000000000533e+00,5.482190294203191649e-02
7.800000000000000711e+00,4.767383770273912053e-02
8.000000000000000000e+00,4.192163833567146003e-02
8.200000000000001066e+00,3.678001063347679372e-02
8.400000000000000355e+00,3.312280074871890023e-02
8.599999999999999645e+00,2.955239972176304866e-02
8.800000000000000711e+00,2.597015643336232638e-02
9.000000000000000000e+00,2.291747533597386990e-02
9.200000000000001066e+00,1.983106877288131134e-02
9.400000000000000355e+00,1.764786915603836631e-02
9.600000000000001421e+00,1.579990073358818886e-02
9.800000000000000711e+00,1.397670893014255587e-02
1.000000000000000000e+01,1.242608938854978216e-02
1.020000000000000107e+01,1.116868021163507953e-02
1.040000000000000036e+01,1.001251647115781150e-02
1.060000000000000142e+01,8.826506343614728273e-03
1.080000000000000071e+01,7.975905939150767718e-03
1.100000000000000000e+01,7.174159144180049241e-03
