k_cm^-1,E_cm3_s^-2,shell_mode_multiplicity
0.000000000000000000e+00,6.858778531417106207e-29,1.000000000000000000e+00
2.000000000000000111e-01,1.826320877916197105e+02,1.800000000000000000e+01
4.000000000000000222e-01,1.865830480681858319e+02,6.200000000000000000e+01
6.000000000000000888e-01,1.196102739803357338e+02,9.800000000000000000e+01
8.000000000000000444e-01,1.256872365435118155e+02,2.100000000000000000e+02
1.000000000000000000e+00,8.634582449538309845e+01,3.500000000000000000e+02
1.200000000000000178e+00,6.776886531728131047e+01,4.500000000000000000e+02
1.400000000000000133e+00,5.646481358816352270e+01,6.020000000000000000e+02
1.600000000000000089e+00,4.960431992330828876e+01,7.620000000000000000e+02
1.800000000000000044e+00,5.200524461969218493e+01,1.142000000000000000e+03
2.000000000000000000e+00,4.051639290492390444e+01,1.250000000000000000e+03
2.200000000000000178e+00,3.721160246946067929e+01,1.458000000000000000e+03
2.400000000000000355e+00,3.497913837303176621e+01,1.814000000000000000e+03
2.600000000000000089e+00,3.187116937965636154e+01,2.178000000000000000e+03
2.800000000000000266e+00,2.884411336498834189e+01,2.498000000000000000e+03
3.000000000000000000e+00,2.491655338689730215e+01,2.622000000000000000e+03
3.200000000000000178e+00,2.569828401702982035e+01,3.338000000000000000e+03
3.400000000000000355e+00,2.347500428121523441e+01,3.722000000000000000e+03
3.600000000000000089e+00,2.142224875265201334e+01,4.170000000000000000e+03
3.800000000000000266e+00,1.812107591832485554e+01,4.358000000000000000e+03
4.000000000000000000e+00,1.784818646685341292e+01,5.034000000000000000e+03
4.200000000000000178e+00,1.658775155480159569e+01,5.714000000000000000e+03
4.400000000000000355e+00,1.423427222918537538e+01,5.982000000000000000e+03
4.600000000000000533e+00,1.340820913695749539e+01,6.602000000000000000e+03
4.800000000000000711e+00,1.254744549702801670e+01,7.130000000000000000e+03
5.000000000000000000e+00,1.170672006466680592e+01,8.034000000000000000e+03
5.200000000000000178e+00,1.058802647836228594e+01,8.606000000000000000e+03
5.400000000000000355e+00,9.685246483630397307e+00,9.066000000000000000e+03
5.600000000000000533e+00,8.998528290150245468e+00,9.962000000000000000e+03
5.800000000000000711e+00,8.071780674032321912e+00,1.055000000000000000e+04
6.000000000000000000e+00,7.520344002457047594e+00,1.122600000000000000e+04
6.200000000000000178e+00,6.884717420793937670e+00,1.214600000000000000e+04
6.400000000000000355e+00,6.186334725544369029e+00,1.260600000000000000e+04
6.600000000000000533e+00,5.854495627432878102e+00,1.380200000000000000e+04
6.800000000000000711e+00,5.492997643298260790e+00,1.475400000000000000e+04
7.000000000000000000e+00,4.820263162945829905e+00,1.519400000000000000e+04
7.200000000000000178e+00,4.533273534776636637e+00,1.645400000000000000e+04
7.400000000000000355e+00,4.107335355110530273e+00,1.715400000000000000e+04
7.600000000000000533e+00,3.893430940328524770e+00,1.826600000000000000e+04
7.800000000000000711e+00,3.479017175289465413e+00,1.875000000000000000e+04
8.000000000000000000e+00,3.281213254005870272e+00,2.023400000000000000e+04
8.200000000000001066e+00,3.087650263997296918e+00,2.145000000000000000e+04
8.400000000000000355e+00,2.738236539958431859e+00,2.196200000000000000e+04
8.599999999999999645e+00,2.591817378474011058e+00,2.346200000000000000e+04
8.800000000000000711e+00,2.353260764581587505e+00,2.404200000000000000e+04
9.000000000000000000e+00,2.230662468223822970e+00,2.594600000000000000e+04
9.200000000000001066e+00,1.977604116711156212e+00,2.611800000000000000e+04
9.400000000000000355e+00,1.849061198580021381e+00,2.750600000000000000e+04
9.600000000000001421e+00,1.751681931478692889e+00,2.906600000000000000e+04
9.800000000000000711e+00,1.643444182592567193e+00,3.045000000000000000e+04
1.000000000000000000e+01,1.512606024931252735e+00,3.174200000000000000e+04
1.020000000000000107e+01,1.370427711068765042e+00,3.225000000000000000e+04
1.040000000000000036e+01,1.303421667415190388e+00,3.425000000000000000e+04
1.060000000000000142e+01,1.197155942433954845e+00,3.545400000000000000e+04
1.080000000000000071e+01,1.101556170478832586e+00,3.643400000000000000e+04
1.100000000000000000e+01,1.023046219538525037e+00,3.768200000000000000e+04
1.120000000000000107e+01,9.583159360692494744e-01,3.929400000000000000e+04
1.140000000000000036e+01,9.042931176321870046e-01,4.142600000000000000e+04
1.160000000000000142e+01,8.171008222994875503e-01,4.206600000000000000e+04
1.180000000000000071e+01,7.649943016236127047e-01,4.349000000000000000e+04
1.200000000000000000e+01,7.198892628028926710e-01,4.570200000000000000e+04
1.220000000000000107e+01,6.689818168810418575e-01,4.663400000000000000e+04
1.240000000000000036e+01,6.225344872659070994e-01,4.855400000000000000e+04
1.260000000000000142e+01,5.680035381736506794e-01,4.887000000000000000e+04
1.280000000000000071e+01,5.399861961460863391e-01,5.155400000000000000e+04
1.300000000000000000e+01,5.137610742007681086e-01,5.409000000000000000e+04
1.320000000000000107e+01,4.690303622902712855e-01,5.431400000000000000e+04
1.340000000000000036e+01,4.406079522372981505e-01,5.691000000000000000e+04
1.360000000000000142e+01,4.073499100826591390e-01,5.748200000000000000e+04
1.380000000000000071e+01,3.853388173070339540e-01,6.062600000000000000e+04
1.400000000000000000e+01,3.569382237464561736e-01,6.120600000000000000e+04
1.420000000000000107e+01,3.290299326737819441e-01,6.257000000000000000e+04
1.440000000000000036e+01,3.148858091657914526e-01,6.573000000000000000e+04
1.460000000000000142e+01,2.923762118734420379e-01,6.668600000000000000e+04
1.480000000000000071e+01,2.765685121408349989e-01,6.969800000000000000e+04
1.500000000000000000e+01,2.547694474069270298e-01,7.002600000000000000e+04
1.520000000000000107e+01,2.376292856301425171e-01,7.274600000000000000e+04
1.540000000000000036e+01,2.249149088295247789e-01,7.491000000000000000e+04
1.560000000000000142e+01,2.071505076481814367e-01,7.572200000000000000e+04
1.580000000000000071e+01,1.958943589777772942e-01,7.837800000000000000e+04
1.600000000000000000e+01,1.825214127126276731e-01,8.003000000000000000e+04
1.619999999999999929e+01,1.736360416091144998e-01,8.318600000000000000e+04
1.640000000000000213e+01,1.611307468658448316e-01,8.466600000000000000e+04
1.660000000000000142e+01,1.511670534127678156e-01,8.654600000000000000e+04
1.680000000000000071e+01,1.401892747587372978e-01,8.813400000000000000e+04
1.700000000000000000e+01,1.336049351726489032e-01,9.153800000000000000e+04
1.719999999999999929e+01,1.246073656378008238e-01,9.313800000000000000e+04
1.740000000000000213e+01,1.152373102475332672e-01,9.447800000000000000e+04
1.760000000000000142e+01,1.087548642730410825e-01,9.727400000000000000e+04
1.780000000000000071e+01,1.030127196810925322e-01,9.969000000000000000e+04
1.800000000000000000e+01,9.721473090432942998e-02,1.025900000000000000e+05
1.819999999999999929e+01,9.061994011744657629e-02,1.037700000000000000e+05
1.840000000000000213e+01,8.499287488979812011e-02,1.063460000000000000e+05
1.860000000000000142e+01,7.955139726585309934e-02,1.085460000000000000e+05
1.880000000000000071e+01,7.455562318064144767e-02,1.107260000000000000e+05
1.900000000000000000e+01,6.957691717472175297e-02,1.123220000000000000e+05
1.920000000000000284e+01,6.625001949310943550e-02,1.158900000000000000e+05
1.940000000000000213e+01,6.251631660850708039e-02,1.187660000000000000e+05
1.960000000000000142e+01,5.948086090842977236e-02,1.222980000000000000e+05
1.980000000000000071e+01,5.472499753242873050e-02,1.220900000000000000e+05
2.000000000000000000e+01,5.153821896398386171e-02,1.258100000000000000e+05
2.020000000000000284e+01,4.859929797431845888e-02,1.281900000000000000e+05
2.040000000000000213e+01,4.586446266118853615e-02,1.309940000000000000e+05
2.060000000000000142e+01,4.297260065712777549e-02,1.337220000000000000e+05
2.080000000000000071e+01,3.976364371502607437e-02,1.338860000000000000e+05
2.100000000000000000e+01,3.878844898506389471e-02,1.405380000000000000e+05
2.120000000000000284e+01,3.574991982915366739e-02,1.405940000000000000e+05
2.140000000000000213e+01,3.366273239065080414e-02,1.435940000000000000e+05
2.160000000000000142e+01,3.174418785762973816e-02,1.463100000000000000e+05
2.180000000000000071e+01,3.026275533187048478e-02,1.506500000000000000e+05
2.200000000000000000e+01,2.817931398067952814e-02,1.519140000000000000e+05
2.220000000000000284e+01,2.641401509364669359e-02,1.533980000000000000e+05
2.240000000000000213e+01,2.521007759470225013e-02,1.578660000000000000e+05
2.260000000000000142e+01,2.361629507666277925e-02,1.606580000000000000e+05
2.280000000000000071e+01,2.243638281083487618e-02,1.641020000000000000e+05
2.300000000000000000e+01,2.080925815646565355e-02,1.649940000000000000e+05
2.320000000000000284e+01,1.978693913900899520e-02,1.698500000000000000e+05
2.340000000000000213e+01,1.877417844249508125e-02,1.729860000000000000e+05
2.360000000000000142e+01,1.747887031689375828e-02,1.738940000000000000e+05
2.380000000000000071e+01,1.652377003708358286e-02,1.767780000000000000e+05
2.400000000000000000e+01,1.568492230325978232e-02,1.818020000000000000e+05
2.420000000000000284e+01,1.484225852552782318e-02,1.844300000000000000e+05
2.440000000000000213e+01,1.399174023607058746e-02,1.872420000000000000e+05
2.460000000000000142e+01,1.318975327942922306e-02,1.902500000000000000e+05
2.480000000000000071e+01,1.240738079334213068e-02,1.925700000000000000e+05
